osm_id,lat,lon,name,building_type,raw_flats,raw_levels,raw_height,confidence,reason,estimated_flats
1,25.081,55.141,Le Reve Tower,apartments,80.0,50.0,214.0,high,flats_and_levels_consistent,80.0
2,25.082,55.142,Al Seef Tower,apartments,159.0,,,high,flats_only,159.0
3,25.083,55.143,Emirates Crown,apartments,252.0,64.0,296.0,high,flats_and_levels_consistent,252.0
4,25.084,55.144,Ocean Heights,apartments,519.0,82.0,310.0,high,flats_and_levels_consistent,519.0
5,25.085,55.145,Cayan Tower,apartments,503.0,76.0,306.4,high,flats_and_levels_consistent,503.0
6,25.086,55.146,Marina Gate 3,apartments,389.0,56.0,224.0,high,flats_and_levels_consistent,389.0
7,25.087,55.147,Marina Heights,apartments,380.0,54.0,208.0,high,flats_and_levels_consistent,380.0
8,25.088,55.148,La Vie Residences,apartments,267.0,36.0,138.0,high,flats_and_levels_consistent,267.0
9,25.089,55.149,DAMAC Heights,apartments,640.0,86.0,335.0,high,flats_and_levels_consistent,640.0
10,25.09,55.15,Princess Tower,apartments,763.0,101.0,357.0,high,flats_and_levels_consistent,763.0
11,25.091,55.151,Marina Gate 1,apartments,415.0,52.0,206.0,high,flats_and_levels_consistent,415.0
12,25.092,55.152,Elite Residence,apartments,695.0,87.0,360.0,high,flats_and_levels_consistent,695.0
13,25.093,55.153,Marina Gate 2,apartments,535.0,66.0,256.0,high,flats_and_levels_consistent,535.0
14,25.094,55.154,Marina Crown,apartments,612.0,53.0,207.0,high,flats_and_levels_consistent,612.0
15,25.095,55.155,The Torch,apartments,682.0,5.0,15.0,suspect,implausible_flats_per_level=136.4 (levels likely wrong),682.0
16,25.096,55.156,Marina Pinnacle,apartments,748.0,4.0,,suspect,implausible_flats_per_level=187.0 (levels likely wrong),748.0
17,25.097,55.157,,apartments,702.0,3.0,,suspect,implausible_flats_per_level=234.0 (levels likely wrong),702.0
18,25.098,55.158,,residential,,12.0,,low,levels_only_estimated,72.0
19,25.099,55.159,,apartments,,,,low,no_flats_no_levels,
